message_time_ms,request
18935,/metrics/mpr2-s2bd/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
18740,/metrics/5cek-rzcv/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
18668,/metrics/jy2w-2xgs/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
18446,/metrics/ws2f-fn87/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
18204,/metrics/xviu-ezkt/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
17929,/metrics/9mv2-qx56/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
17477,/metrics/hfgz-5y8m/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
16943,/metrics/4sc4-a2x2/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
16693,/metrics/gpaq-gmr6/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
16470,/metrics/np82-9s3f/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
16394,/metrics/cx5k-b3eq/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
16090,/metrics/wa32-bme6/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
16061,/metrics/wi3q-h6hb/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
15895,/metrics/mqmg-sm2c/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
15814,/version
15710,/metrics/ucsz-xe6d/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
15550,/version
15549,/version
15484,/metrics/3kv2-qnsc/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
15074,/metrics/umqh-ucyj/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
15018,/metrics/bin3-c64n/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
14844,/metrics/qv8i-e2m4/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
14698,/metrics/ye4r-qpmp/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
14591,/metrics/ezzz-mxcs/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
14430,/metrics/5unr-w4sc/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
14430,/metrics/n2wi-gunv/range?start=2010-01-01+08%3A00%3A00%3A000&end=2017-01-01+08%3A00%3A00%3A000
